System	Client	IMEI	Vehicle	Plate Number	Chassis	Days Since Last Report	Last Report Date
SecurePath	N/A	356173066433033	N/A	N/A	N/A	46	2020-05-24T23:24:49+04:00
SecurePath	FAST RENT A CAR	356173062250647	FORD FIGO 	R23960	MAJFKBFZ3LTT35347	107	2020-03-24T19:53:05+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062857797	LAND ROVER 	W78519	SALVA2BX7KH340283	117	2020-03-14T11:58:23+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173066420204	TOYOTA HIACE	JTGSX22PXJ6196329	JTGSX22PXJ6196329	135	2020-02-25T11:02:39+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173066498093	TOYOTA YARIS	MR2K19F36J1042060	MR2K19F36J1042060	99	2020-04-01T10:25:24+04:00
SecurePath	N/A	356173060708794	N/A	N/A	N/A	65	2020-05-05T13:13:52+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062414445	Infiniti Qx60 CoMFORT	S67983	5N1AL0MM8GC502431	N/A	N/A
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	868324020718347	NISSAN SUNNY	T78416	MDHBN7AD4GG745582	135	2020-02-25T10:53:29+04:00
SecurePath	FAST RENT A CAR	356173067842067	TOYOTA COROLLA	S21520	RKLBB9HE5G5145820	1466	2016-07-05T01:25:54+04:00
SecurePath	FAST RENT A CAR	356173062921544	HYUNDAI TUCSON	K91248	TMAJ28132HJ381835	136	2020-02-24T22:09:37+04:00
SecurePath	N/A	356173062865402	N/A	N/A	N/A	14	2020-06-25T09:51:46+04:00
SecurePath	FAST RENT A CAR	356173061172750	KIA RIO	Q93826	KNADM512XG6744311	195	2019-12-27T19:11:49+04:00
SecurePath	FAST RENT A CAR	356173061369273	MITSUBISHI LANCER	F31768	JMYSRCY1AGU723149	106	2020-03-25T08:54:55+04:00
SecurePath	N/A	351173062123460	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356307048908155	CHEVROLET IMPALA	Q20075	2G1175S31F9169066	135	2020-02-25T08:07:07+04:00
SecurePath	FAST RENT A CAR	356173062877613	KIA CERATO	R51534	KNAFK4115G5474054	107	2020-03-25T03:16:04+04:00
SecurePath	N/A	356307049888919	N/A	N/A	N/A	10	2020-06-29T12:11:37+04:00
SecurePath	N/A	865733029309671	N/A	N/A	N/A	10	2020-06-29T12:35:49+04:00
SecurePath	FAST RENT A CAR	356173066432860	MAZDA CX5	F31984	JM8KE4W77G0361484	274	2019-10-09T20:13:52+04:00
SecurePath	FAST RENT A CAR	356307048783764	CHEVROLET IMPALA	Q20074	2G1175S38F9170604	140	2020-02-20T08:44:37+04:00
SecurePath	FAST RENT A CAR	356173069218498	TOYOTA YARIS	S21473	MR2KW9F32G1114785	135	2020-02-25T10:34:14+04:00
SecurePath	FAST RENT A CAR	356173062880773	NISSAN ALTIMA	S75460	1N4AL3A99HC115576	112	2020-03-19T14:04:27+04:00
SecurePath	FAST RENT A CAR	356173063486992	NISSAN URVAN	V34771	JN6BE6DS3J9060406	106	2020-03-25T08:52:50+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	868324020226515	TOYOTA YARIIS	T35586	MR2B29F33H1025191	135	2020-02-25T10:48:52+04:00
SecurePath	MASSAR SOLUTIONS	862462037889804	HONDA ODYSSEY	C40072	JHMRC1831KC400720	N/A	N/A
SecurePath	FAST RENT A CAR	356307048788979	FORD FIGO	R23997	MAJFKBFZ8LTS24406	106	2020-03-25T08:20:09+04:00
SecurePath	N/A	356173062071000	N/A	N/A	N/A	308	2019-09-05T14:25:07+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062414441	NISSAN SUNNY	S33739	MDHBN7AD0GG73124	65	2020-05-05T09:06:37+04:00
SecurePath	FAST RENT A CAR	356173066430674	TOYOTA YARIS	S21474	MR2KW9F34G1114528	135	2020-02-25T09:14:16+04:00
SecurePath	N/A	356173063236165	N/A	N/A	N/A	40	2020-05-30T13:09:18+04:00
SecurePath	FAST RENT A CAR	356173062968065	KIA OPTIMA	R51562	KNAGM4125G5657879	115	2020-03-16T14:46:13+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062223479	FORD ECOSPORT	J39698	MAJFK2BA6HAA87133	N/A	N/A
SecurePath	FAST RENT A CAR	356173067560123	TOYOTA YARIS	S21451	MR2KW9F30G1114302	1453	2016-07-17T22:06:20+04:00
SecurePath	N/A	356307047623383	N/A	N/A	N/A	107	2020-03-24T12:16:40+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062012345	MERCEDEZ VITO 	K90811	WD4WG2E17H321175	N/A	N/A
SecurePath	FAST RENT A CAR	356307048815269	FORD FIGO 	R23980	MAJFKBFZ6LTT31342	106	2020-03-25T09:08:24+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062512103	MAZDA CX-9	I22730	JM5TCAWY9K0317655	364	2019-07-11T23:00:44+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173069281306	NISSAN EXTRAIL 	H96246	JN1BT2MUXGW003152	135	2020-02-25T10:22:52+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307048832587	JEEP GRAND CHEROKEE	AD30758-9	1C4RJFBG3LC284308	136	2020-02-24T16:32:17+04:00
SecurePath	FAST RENT A CAR	356173062572420	RENAULT DOKKER	VF18SRB42GG543609	VF18SRB42GG543609	175	2020-01-16T09:57:58+04:00
SecurePath	FAST RENT A CAR	356307047649164	NISSAN SUNNY	M49451	MDHBN7AD5HG610502	107	2020-03-24T16:51:03+04:00
SecurePath	FAST RENT A CAR	356173066275640	NISSAN SUNNY	P65987	MDHBN7AD0GG709825	260	2019-10-23T21:04:04+04:00
SecurePath	FAST RENT A CAR	356307049871246	HYUNDAI ELENTRA	S73868	KMHD741FXHU235240	135	2020-02-25T11:04:20+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173068987143	TOYOTA HIACE 	S43547	JTGJX02P1G5046060	135	2020-02-25T10:39:40+04:00
SecurePath	FAST RENT A CAR	356173062843003	MITSUBISHI LANCER	JTFHX02P4F0100319	JTFHX02P4F0100319	106	2020-03-25T09:22:00+04:00
SecurePath	FAST RENT A CAR	356307048764798	FORD ECOSPORT	E64900	MAJFK1BZ3KAE64900	106	2020-03-25T09:11:45+04:00
SecurePath	FAST RENT A CAR	356173062386060	NISSAN SUNNY	D23158	MDHBN7AD5GG725034	160	2020-01-31T12:04:34+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307047642896	NISSAN SUNNY	S33740	MDHBN7AD9GG727742	68	2020-05-02T10:44:36+04:00
SecurePath	FAST RENT A CAR	356307048800501	NISSAN URVAN	Q22894	JN6BE6DS5F9011182	191	2019-12-31T18:55:09+04:00
SecurePath	N/A	356173062869222	N/A	N/A	N/A	112	2020-03-19T15:10:17+04:00
SecurePath	N/A	356173063495697	N/A	N/A	N/A	446	2019-04-20T04:52:21+04:00
SecurePath	N/A	356307047588875	N/A	N/A	N/A	113	2020-03-19T01:27:51+04:00
SecurePath	FAST RENT A CAR	356173067800818	NISSAN SUNNY	J34875	MDHBN7AD4GG719242	135	2020-02-25T10:25:16+04:00
SecurePath	FAST RENT A CAR	356307049850943	NISSAN URVAN	W23640	JN6BE6BS3K9030679	106	2020-03-25T09:18:01+04:00
SecurePath	FAST RENT A CAR	356173062922104	TOYOTA HIACE	H52866	JTGJX02P8G0066044	102	2020-03-29T13:19:39+04:00
SecurePath	FAST RENT A CAR	356173062848911	KIA SPORTAGE	R54899	KNAPB8123G7831112	12	2020-06-27T12:37:57+04:00
SecurePath	N/A	356173060653867	N/A	N/A	N/A	125	2020-03-06T16:32:02+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062949438	TOYOTA COROLLA	M11643	RKLBB9HEXK5240091	107	2020-03-24T18:24:39+04:00
SecurePath	FAST RENT A CAR	356173062333393	FORD FIGO 	R24054	MAJFKBFZ9LTU41639	106	2020-03-25T08:21:13+04:00
SecurePath	FAST RENT A CAR	356173067802459	NISSAN SUNNY	J20878	MDHBN7AD6GG718724	135	2020-02-25T10:55:37+04:00
SecurePath	FAST RENT A CAR	356173061495433	FORD FOCUS	Q40876	WF0BC3KB0GLR54429	N/A	N/A
SecurePath	N/A	356307047684864	N/A	N/A	N/A	36	2020-06-03T11:58:31+04:00
SecurePath	FAST RENT A CAR	356173061492885	TOYOTA HIACE	M74611	JTFHX02P8H0112380	106	2020-03-25T09:39:16+04:00
SecurePath	FAST RENT A CAR	356173060609224	NISSAN SUNNY	MDHBN7AD9JG635859	MDHBN7AD9JG635859	193	2019-12-29T22:33:10+04:00
SecurePath	FAST RENT A CAR	356173061145764	NISSAN URVAN	I67387	jn6be6ds2g9020553	106	2020-03-25T07:57:02+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062262113	FORD ECOSPORT	I93505	MAJFK2BA3HAA87123	N/A	N/A
SecurePath	FAST RENT A CAR	356307047623813	FORD FIGO	R24006	MAJFKBFZ0LTT37329	106	2020-03-25T09:09:54+04:00
SecurePath	FAST RENT A CAR	356173062383182	KIA RIO	D22690	KNADM5125G6744118	151	2020-02-09T15:34:23+04:00
SecurePath	FAST RENT A CAR	356307048930035	NISSAN URVAN	Q24537	JN6BE6DS2F9011205	136	2020-02-24T18:00:51+04:00
SecurePath	N/A	356307047564926	N/A	N/A	N/A	60	2020-05-10T11:21:34+04:00
SecurePath	N/A	356173062123457	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356173063068584	FORD ECOSPORT	MAJFK1BZ7KAE68769	MAJFK1BZ7KAE68769	106	2020-03-25T08:29:13+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173066440228	TOYOTA YARIS	MR2K19F34J1042509	MR2K19F34J1042509	10	2020-06-29T10:59:05+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307049913378	TOYOTA COROLLA	M11568	RKLBB9HE2K5240103	107	2020-03-24T20:36:57+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307047637888	TOYOTA PRADO	M29751	JTEBU3FJ6H5079215	N/A	N/A
SecurePath	N/A	356173062000022	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356307047629737	NISSAN SUNNY	Q35067	MDHBN7AD7FG705849	135	2020-02-25T11:04:09+04:00
SecurePath	N/A	111111111111111	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356173062076661	FORD ESCORT	LVSFFBFU2LSM23544	LVSFFBFU2LSM23544	106	2020-03-25T08:56:31+04:00
SecurePath	FAST RENT A CAR	356307048790975	KIA CARNIVAL	D12061	KNAMC8121G6117470	28	2020-06-11T11:09:23+04:00
SecurePath	FAST RENT A CAR	356173061366162	FORD FIGO	E87515	MAJFKBGZ1KTE87515	115	2020-03-16T09:20:52+04:00
SecurePath	N/A	356173305106037	N/A	N/A	N/A	N/A	N/A
SecurePath	N/A	356173062954925	N/A	N/A	N/A	277	2019-10-06T17:00:41+04:00
SecurePath	N/A	356173066431052	N/A	N/A	N/A	136	2020-02-24T22:38:13+04:00
SecurePath	FAST RENT A CAR	356307047611958	NISSAN SUNNY	Q38135	MDHBN7AD3FG706917	15	2020-06-24T10:56:38+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062216986	FORD ECOSPORT	I46104	MDHBN7AD6JG614919	N/A	N/A
SecurePath	N/A	356173061468885	N/A	N/A	N/A	29	2020-06-10T12:21:12+04:00
SecurePath	FAST RENT A CAR	356307048802044	NISSAN SUNNY	S73998	MDHBN7AD1HG610285	139	2020-02-21T08:33:28+04:00
SecurePath	FAST RENT A CAR	356173062908384	MITSUBISHI L200	MMBJNKJ40GH065269	MMBJNKJ40GH065269	106	2020-03-25T08:39:27+04:00
SecurePath	FAST RENT A CAR	356173062945097	KIA CARNIVAL	R60536	KNAMC8123G6117468	50	2020-05-20T05:06:33+04:00
SecurePath	FAST RENT A CAR	356173063142041	NISSAN SUNNY	T74279	MDHBN7AD7GG744460	245	2019-11-07T09:13:57+04:00
SecurePath	N/A	865733029311495	N/A	N/A	N/A	31	2020-06-08T11:02:09+04:00
SecurePath	FAST RENT A CAR	356307049910671	FORD ECOSPORT 	MAJFK1BZ4KAK49801	MAJFK1BZ4KAK49801	106	2020-03-25T08:40:31+04:00
SecurePath	N/A	868345032056000	N/A	N/A	N/A	N/A	N/A
SecurePath	FAST RENT A CAR	356173061325499	FORD FIGO 	E87518	MAJFKBGZ7KTE87518	106	2020-03-25T08:38:32+04:00
SecurePath	FAST RENT A CAR	356173062857078	MITSUBISHI LANCER	JMYSRCY1AGU713198	JMYSRCY1AGU713198	46	2020-05-24T15:42:21+04:00
SecurePath	FAST RENT A CAR	356173067552815	TOYOTA YARIS	S21449	MR2KW9F3XG1107423	1451	2016-07-19T23:10:52+04:00
SecurePath	FAST RENT A CAR	356307048914203	FORD EDGE	Q10816	1FM5K8B80FGB14609	135	2020-02-25T06:02:50+04:00
SecurePath	FAST RENT A CAR	356173062962423	NISSAN URVAN	G88693	JN6BE6DS9G9020534	106	2020-03-25T09:35:27+04:00
SecurePath	FAST RENT A CAR	356173062448142	HYUNDAI H1	Q10488	KMJWA37R6FU699711	106	2020-03-25T08:02:20+04:00
SecurePath	FAST RENT A CAR	356173061749110	NISSAN SUNNY	MDHBN7AD9JG631763	MDHBN7AD9JG631763	222	2019-11-30T13:35:19+04:00
SecurePath	FAST RENT A CAR	356307049855330	KIA RIO	P86147	KNADM5126G6744015	19	2020-06-20T17:36:28+04:00
SecurePath	FAST RENT A CAR	356173062841676	KIA RIO	R54842	KNADM5121G6744049	1054	2017-08-20T20:10:39+04:00
SecurePath	FAST RENT A CAR	356307047684898	NISSAN SUNNY	H53319	MDHBN7AD8FG705844	135	2020-02-25T07:15:50+04:00
SecurePath	N/A	356173067719554	N/A	N/A	N/A	135	2020-02-25T11:01:48+04:00
SecurePath	FAST RENT A CAR	356173061759937	VOLKSWAGEN TRANSPORTER	P93422	WV1DMYSV5HH153313	114	2020-03-17T08:08:18+04:00
SecurePath	N/A	356173062875914	N/A	N/A	N/A	106	2020-03-25T09:05:27+04:00
SecurePath	N/A	356170021112000	N/A	N/A	N/A	N/A	N/A
SecurePath	N/A	865733024130718	N/A	N/A	N/A	36	2020-06-03T10:26:58+04:00
SecurePath	FAST RENT A CAR	356173066443776	MAZDA CX5	F68004	JM8KE4W70G0362122	49	2020-05-21T17:27:31+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356307048802028	NISSAN NAVARA	T49737	VSKDD3C42GA030934	107	2020-03-24T10:17:45+04:00
SecurePath	N/A	356173066495453	N/A	N/A	N/A	135	2020-02-25T11:04:21+04:00
SecurePath	FAST RENT A CAR	356173062438804	NISSAN SUNNY	M85766	MDHBN7AD4GG711674	44	2020-05-27T02:18:17+04:00
SecurePath	FAST RENT A CAR	356173066441580	MITSUBISHI LANCER	G43528	JMYSRCY1AGU723142	135	2020-02-25T10:47:45+04:00
SecurePath	FAST RENT A CAR	356173063485788	NISSAN SUNNY	MDHBN7AD0JG631893	MDHBN7AD0JG631893	106	2020-03-25T09:36:51+04:00
SecurePath	FAST RENT A CAR	356173062443473	MITSUBISHI L200	M48923	MMBJNKJ40GH059644	106	2020-03-25T09:24:49+04:00
SecurePath	FAST RENT A CAR	356173062964536	CHEVROLET IMPALA	M74636	2G1155S35H9107159	8	2020-07-01T10:05:52+04:00
SecurePath	FAST RENT A CAR	865733023774391	KIA RIO	P17301	KNADM5123G6744389	135	2020-02-25T11:04:41+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062222851	FORD ECOSPORT	I97246	MAJFK2BA1HAA87119	N/A	N/A
SecurePath	FAST RENT A CAR	356307048795685	FORD FIGO	E87517	MAJFKBGZ5KTE87517	114	2020-03-17T19:25:58+04:00
SecurePath	FAST RENT A CAR	356173069077142	TOYOTA YARIS	S21476	MR2KW9F36G1114479	135	2020-02-25T10:06:37+04:00
SecurePath	FAST RENT A CAR	356307047636575	TOYOTA COROLLA	S21513	RKLBB9HE2G5145774	172	2020-01-19T21:43:15+04:00
SecurePath	FAST RENT A CAR	356173062871509	MITSUBISHI CANTER	J89967	JL7B6E1P7EK012046	23	2020-06-16T09:08:49+04:00
SecurePath	N/A	356307049903593	N/A	N/A	N/A	43	2020-05-27T11:37:29+04:00
SecurePath	FAST RENT A CAR	356173062794339	FORD ECOSPORT	MAJFK1BZ5LAM48907	MAJFK1BZ5LAM48907	106	2020-03-25T08:32:28+04:00
SecurePath	FAST RENT A CAR	356307048921976	NISSAN SUNNY	S75997	MDHBN7AD1HG610352	136	2020-02-24T08:59:25+04:00
SecurePath	N/A	356307048928435	N/A	N/A	N/A	401	2019-06-04T22:18:04+04:00
SecurePath	FAST RENT A CAR	356173062248898	NISSAN SUNNY	P63469	MDHBN7AD6GG700143	16	2020-06-24T00:13:48+04:00
SecurePath	FAST RENT A CAR	356173061148875	FORD FIGO	R23970	MAJFKBFZ4LTT34224	106	2020-03-25T08:54:15+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062465278	MAZDA CX5	JM7KFAWL9L0351241	JM7KFAWL9L0351241	107	2020-03-25T01:10:38+04:00
SecurePath	FAST RENT A CAR	356173061752932	TOYOTA HIACE	E85066	JTGSX23P8E6153144	135	2020-02-25T10:27:05+04:00
SecurePath	FAST RENT A CAR	356173063178235	FORD FIGO	000	MAJFKBGZ8KTE87513	114	2020-03-17T21:57:05+04:00
SecurePath	N/A	356170000069543	N/A	N/A	N/A	12	2020-06-27T14:52:38+04:00
SecurePath	FAST RENT A CAR	356173062852434	MITSUBISHI LANCER	C16411	JMYSRCY1AGU756958	135	2020-02-25T10:13:19+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062866129	GMC YUKON 	C93920	1GKS27KC1JR179895	106	2020-03-25T09:05:00+04:00
SecurePath	FAST RENT A CAR	356307048832314	MAZDA 6	B25627	JM7GJ4S79F1138321	449	2019-04-17T13:41:14+04:00
SecurePath	FAST RENT A CAR	356307047637904	FORD FIGO 	R23925	MAJFKBFZ2LTT34643	169	2020-01-22T22:14:57+04:00
SecurePath	FAST RENT A CAR	356173066430187	MITSUBISHI LANCER	F45103	JMYSRC41AGU723154	135	2020-02-25T10:07:48+04:00
SecurePath	FAST RENT A CAR	356307047640650	MITSUBISHI L200	M49001	MMBJNKJ40GH059518	682	2018-08-27T15:22:05+04:00
SecurePath	FAST RENT A CAR	356173067552740	TOYOTA YARIS	S21445	MR2KW9F37G1114961	1451	2016-07-19T18:54:54+04:00
SecurePath	FAST RENT A CAR	356173063060573	TOYOTA YARIS	R82629	MR2KW9F39G1101564	159	2020-02-01T15:05:33+04:00
SecurePath	FAST RENT A CAR	356173061712605	VOLKSWAGEN TRANSPORTER	P93413	WV1DMYSV5HH152713	720	2018-07-20T07:00:50+04:00
SecurePath	FAST RENT A CAR	356173062282061	HYUNDAI ELANTRA	S73869	KMHD741F1HU254534	140	2020-02-20T17:54:38+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173061754698	KIA SELTOS	AD58408-12	MZBEP8149LN085552	109	2020-03-22T09:17:00+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173066601019	TOYOTA YARIS	MR2K19F35J1041353	MR2K19F35J1041353	100	2020-03-31T18:53:43+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062953463	NISSAN SUNNY	MDHBN7AD9LG689567	MDHBN7AD9LG689567	123	2020-03-08T16:18:15+04:00
SecurePath	FAST RENT A CAR	356307048802432	KIA RIO	H39765	KNADM5128G6744355	135	2020-02-25T07:15:56+04:00
SecurePath	FAST RENT A CAR	356173062898494	MITSUBISHI ROSA	I40059	JL5B3J6P9GRP21249	9	2020-06-30T09:49:41+04:00
SecurePath	N/A	356173066442661	N/A	N/A	N/A	135	2020-02-25T10:42:58+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062489955	FORD ECOSPORT	I98679	MAJFK2BA0HAA87127	N/A	N/A
SecurePath	FAST RENT A CAR	862462039824437	FORD ECOSPORT	E64839	MAJFK1BZ4KAE64839	136	2020-02-24T16:15:47+04:00
SecurePath	LEASE PLAN EMIRATES LLC	356173062857441	NISSAN PATROL	JN8BY2NY3L9306884	JN8BY2NY3L9306884	107	2020-03-24T15:26:50+04:00
SecurePath	FAST RENT A CAR	356307049849226	NISSAN SUNNY	L63292	MDHBN7AD4JG615342	N/A	N/A
SecurePath	FAST RENT A CAR	356307048839384	FORD EDGE	Q24482	JMYSRCY1AFU716129	136	2020-02-24T12:08:23+04:00
SecurePath	FAST RENT A CAR	356307049890840	FORD FIGO	000	MAJFKBGZ4KTE87511	107	2020-03-24T13:40:28+04:00
SecurePath	N/A	356173068920000	N/A	N/A	N/A	282	2019-10-01T16:36:21+04:00
SecurePath	N/A	356173062439000	N/A	N/A	N/A	603	2018-11-14T05:51:37+04:00
SecurePath	MASSAR SOLUTIONS - DEVICE ONLY	356173062454066	FORD ECOSPORT	J78813	MAJFK2BA9HAA87126	N/A	N/A
SecurePath	N/A	356173062442574	N/A	N/A	N/A	119	2020-03-12T09:45:51+04:00
